script_id	status	timestamp
organizational-structure.update_history	B	20190424125319
organizational-structure.update_history	E	20190424125330
organizational-structure.update_history	B	20190426104636
organizational-structure.update_history	E	20190426104644
magenta-office-calculator.update_organizational_structure	B	20190426105211
magenta-office-calculator.update_organizational_structure	E	20190426105214
organizational-structure.update	B	20190428133119
organizational-structure.update	E	20190428133343
magenta-office-calculator.update_organizational_structure	B	20190429125644
magenta-office-calculator.update_organizational_structure	E	20190429125646
organizational-structure.update_history	B	20190430134815
organizational-structure.update_history	E	20190430134825
organizational-structure.update_history	B	20190502134122
organizational-structure.update_history	E	20190502134129
organizational-structure.update	B	20190505193336
organizational-structure.update	E	20190505193712
organizational-structure.update_history	B	20190505193714
organizational-structure.update_history	E	20190505193721
magenta-office-calculator.update_organizational_structure	B	20190505193802
magenta-office-calculator.update_organizational_structure	E	20190505193804
organizational-structure.update	B	20190508130935
organizational-structure.update	E	20190508131147
magenta-office-calculator.update_organizational_structure	B	20190512134638
magenta-office-calculator.update_organizational_structure	E	20190512134641
magenta-office-calculator.update_organizational_structure	B	20190513125618
magenta-office-calculator.update_organizational_structure	E	20190513125623
organizational-structure.update_history	B	20190514122242
organizational-structure.update_history	E	20190514122250
organizational-structure.update	B	20190515113821
organizational-structure.update	E	20190515114106
organizational-structure.update_history	B	20190515114107
organizational-structure.update_history	E	20190515114115
organizational-structure.update	B	20190517121732
organizational-structure.update	E	20190517122157
organizational-structure.update_history	B	20190517122158
organizational-structure.update_history	E	20190517122227
organizational-structure.update_history	B	20190519181811
organizational-structure.update_history	E	20190519181818
magenta-office-calculator.update_organizational_structure	B	20190520121823
magenta-office-calculator.update_organizational_structure	E	20190520121848
organizational-structure.update	B	20190522134805
organizational-structure.update	E	20190522135024
organizational-structure.update_history	B	20190522135025
organizational-structure.update_history	E	20190522135031
organizational-structure.update_history	B	20190523121926
organizational-structure.update_history	E	20190523121932
organizational-structure.update	B	20190525121028
organizational-structure.update	E	20190525121440
organizational-structure.update_history	B	20190525121441
organizational-structure.update_history	E	20190525121451
organizational-structure.update_history	B	20190526125449
organizational-structure.update_history	E	20190526125603
magenta-office-calculator.update_organizational_structure	B	20190526125621
